"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
2236,"先を急いでいる。邪魔をするな","Don't stand in the way, I have urgent affairs.","Je suis pressé. Ne vous mettez pas sur mon chemin.",,"我有急事，别妨碍我。","我有急事，別妨礙我。",,
2237,"それが人の姿か。ならば俺は……","Is that the form of humans ? Then I...","Cela ressemble donc à ça, un humain. Mais alors, moi...",,"那就是人类的姿态吗，那么我……","那就是人類的姿態嗎，那麼我……",,
2238,"闘争こそ我が本能。だが、何かが違う気がするのだ","Fighting is my instinct. Anyway, I think there is something wrong.","Se battre fait partie de mon être. Cependant, j'ai l'impression que quelque chose cloche.",,"鬥争就是我的本能。但是，总觉得有什么不对劲。","鬥爭就是我的本能。但是，總覺得有什麼不對勁。",,
2239,"懐かしい匂いがする。お前のいた世界はどこだ？","I sensed a familiar aura. Where do you come from ?","Voilà une odeur qui me rend nostalgique. De quel monde viens-tu ?",,"我闻到一股怀念的味道，你原本待的世界是在哪里？","我聞到一股懷念的味道，你原本待的世界是在哪裡？",,
2240,"取り戻したいという思いだけで、俺はここまで来た","I come here to help.","Je suis arrivé jusqu'ici avec la volonté de reprendre ce qui est mien.",,"我只是想要挽回，才来到这里的。","我只是想要挽回，才來到這裡的。",,
2241,"何を見ている。化け物が珍しいわけではあるまい","What's that look ? A monster like me is not rare, is it ?","Qu'est-ce que tu regardes ? Ce n'est pas comme si les monstres étaient rares par ici.",,"你在看什么，像我这样怪物应该不稀奇吧？","你在看什麼，像我這樣怪物應該不稀奇吧？",,
2242,"お前は俺の昔の姿を知っているのか？","Do you know what I used to look like ?","Tu sais à quoi je ressemblais à l'époque ?",,"你知道我以前的样子吗？","你知道我以前的樣子嗎？",,
2243,"ああ、お前の事は微かに覚えている","Ah, I recall something about you.","Effectivement, je me souviens vaguement de toi.",,"啊，我稍微记得一点你的事。","啊，我稍微記得一點你的事。",,
2244,"その構え、連隊の戦士か。だがその姿は……","That look...are you a warrior of the company ? Well, your look is...","À voir ton style, tu dois venir du Régiment. Cependant, ton apparence...",,"你那个架势，你是连队的战士吗。但是你那个样子是……","你那個架勢，你是連隊的戰士嗎。但是你那個樣子是……",,
2245,"馬鹿な。なぜこのようなことが……","How could it be...","Comment une telle chose a-t-elle pu se produire ?",,"怎么可能，为什么会发生这种事……","怎麼可能，為什麼會發生這種事……",,
2246,"何もかも、渦に奪われたってことかよ！","So everything was taken away by the vortex ?","Tu es en train de me dire que tout a été avalé par le Vortex ?",,"也就是说一切的一切，都被涡夺走了吗！","也就是說一切的一切，都被渦奪走了嗎！",,
2247,"渦の向こうで、一体何があった？","What happened to you on the other side of the vortex ?","Que s'est-il passé de l'autre côté du Vortex ?",,"你在涡的另一边，到底发生了什么事？","你在渦的另一邊，到底發生了什麼事？",,
2248,"その姿、渦に取り込まれた戦士の末路か","That...is how a warrior becomes after being engulfed by the vortex ?","Ton apparence est donc celle des soldats qui ont été emportés par le Vortex ?",,"你的那个样子，就是被涡给吞噬的战士最後的样子吗。","你的那個樣子，就是被渦給吞噬的戰士最後的樣子嗎。",,
2249,"おいおい、何かの冗談だろ？　なあ？","Are you serious ?","Dis moi que c'est un blague !",,"喂喂，这是在开玩笑的吧？　对吧？","喂喂，這是在開玩笑的吧？　對吧？",,
2250,"帰ってこんかったもんは、こうなってしまうとか？","Anyone who fails to escape the vortex becomes like you ?","Ceux qui n'ont pas pu rentrer ressemblent maintenant à ça ?",,"如果没能从涡回来的话，就会变成像你这样吗？","如果沒能從渦回來的話，就會變成像你這樣嗎？",,
2251,"アンタ、まさかそんな……。どうして……","You... how can it be...how is that...","Tu... ne me dis pas que tu es... Mais pourquoi ?",,"你，怎么会……为什么……","你，怎麼會……為什麼……",,
2252,"何処へ行くのだ？","Where are you going ?","Où vas-tu ?",,"要去哪里？","要去哪裡？",,
2253,"聖女様の下です。","To the side of the holy woman.","Auprès de la Sainte Souveraine.",,"圣女大人的身边。","聖女大人的身邊。",,
2254,"失った記憶が戻るなら従おう。","I'll listen to you and go if my memory can be restored.","Je te suis si ça peut me permettre de retrouver la mémoire.",,"如果去了就可以恢复我的记忆的话，就听您的吧。","如果去了就可以恢復我的記憶的話，就聽妳的吧。",,
2255,"化け物が化け物を倒す。滑稽だな。","It's funny to see a monster taking down another.","Un monstre vient à bout d'un autre monstre. Voilà qui est drôle.",,"怪物打倒怪物，还真是滑稽。","怪物打倒怪物，還真是滑稽。",,
2256,"あなたは人のように見えますが。","To me, you are a human.","Vous m'avez l'air humain, pourtant.",,"我觉得你看起来是个人类啊。","我覺得你看起來是個人類啊。",,
2257,"本当に俺を人間だと思っているのか？","Do you think I am ?","Tu penses vraiment que je suis humain ?",,"您真的觉得我是人类吗？","妳真的覺得我是人類嗎？",,
2258,"ますます滑稽な話だ。","So, it's even funnier.","Voilà qui est encore plus drôle.",,"那就更滑稽了。","那就更滑稽了。",,
2259,"夜明けか。日の出を見るのはいつ振りだろうか。","The dawn has come. I haven't seen sunrise for a long time.","Il commence à faire jour. Je ne sais pas pendant combien de temps nous n'avons pas vu les rayons du soleil.",,"天亮了，我多久没有看到日出了。","天亮了，我多久沒有看到日出了。",,
2260,"この世界では朝日が上ることはめったにありません。","Sunrise is rare in this world.","Le jour se lève rarement dans ce Monde.",,"在这个世界很少有日出。","在這個世界很少有日出。",,
2261,"そうだったか。だが、俺が以前この光景を見たのは……","Oh, is it ? Well, I've seen this scene before...","Je vois. Mais il me semble avoir déjà vu un tel paysage...",,"这样啊。但是，我以前看过这个景色……","這樣啊。但是，我以前看過這個景色……",,
2262,"一つの物事に固執したあまり、全てを失ったか。","Everything is lost when too much effort is given to something.","À force de trop vouloir accumuler, il a fini par tout perdre.",,"太过执着於单一个事物，反而失去了一切吗。","太過執著於單一個事物，反而失去了一切嗎。",,
2263,"財宝にはそれだけの価値があったということでしょうか。","Is wealth so valuable to it ?","Est-ce que cela veut dire que son trésor en valait le prix ?",,"也就是说财宝对牠有着那样的价值吗？","也就是說財寶對牠有著那樣的價值嗎？",,
2264,"俺が記憶や肉体に固執するように、物の価値は様々だ。","Just like I put everything into my memory and physical body. Value varies with each individual.","Tout comme je m'attaque à mes souvenirs et à mon apparence, j'imagine que tout le monde valorise différentes choses.",,"就像我执着於我的记忆与肉体一样，每个人的价值观都有所不同。","就像我執著於我的記憶與肉體一樣，每個人的價值觀都有所不同。",,
2265,"竜が財宝にどのような価値を見出していたか","How much wealth is valued by a dragon","Je me demande quelle valeur le dragon accordait à son trésor...",,"在龙的眼里，财宝的价值到底有多大","在龍的眼裡，財寶的價值到底有多大",,
2266,"それは竜本人にしかわからん。","is only known by itself.","Et cela, seul le dragon le savait.",,"只有龙自己知道。","只有龍自己知道。",,
2267,"聖女は滅びた。","The holy woman fell","La Sainte Souveraine n'est plus.",,"圣女已经消灭了。","聖女已經消滅了。",,
2268,"だが俺が求めていた記憶を手に入れることはできなかった。","but the memory I've been looking for is still missing.","Cependant, je n'ai pas réussi à retrouver la mémoire...",,"但是我所寻求的记忆没有找回。","但是我所尋求的記憶沒有找回。",,
2269,"私も目的を失いました。","I lost my motivation.","J'ai également perdu mon but.",,"我也失去目标了。","我也失去目標了。",,
2270,"ならば、共に行くか。","Well, why not travel with me ?","Eh bien, continuons notre route ensemble alors.",,"那么，就跟我一起走吧？","那麼，就跟我一起走吧？",,
2271,"俺は記憶を、お前は生きる意味を見出すためにな。","I'll look for my memory, you'll find the meaning of your life.","Pour que je retrouve mes souvenirs et que toi, tu retrouves un sens à ta vie.",,"我寻找我的记忆，您就找出您生存的意义吧。","我尋找我的記憶，妳就找出妳生存的意義吧。",,
2272,"何者に恨まれようとも、私はやり遂げねばならない。","I shall insist till the end, no matter who harbors hatred against me.","Quitte à me faire détester, il me faut réussir.",,"不管会被什么人恨，我都必须坚持到底。","不管會被什麼人恨，我都必須堅持到底。",,
2273,"恨むのはお門違いってもんだぜ！","You have found the wrong person for your hatred!","Là n'est pas la question !",,"你找错要恨的对象了！","你找錯要恨的對象了！",,
2274,"死霊を操る力、どれ程のものか見せてもらおう。","Show me your necromancy powers and we shall see how potent it is.","On va voir ce que vaut le pouvoir qui permet de maîtriser tous ces spectres.",,"就让我看看你那操纵死灵的力量，有多厉害。","就讓我看看你那操縱死靈的力量，有多厲害。",,
2275,"何度蘇ろうと、この剣の錆にしてやる！","No matter how many times you return to life, you will always end up as the rusts of my sword.","Quoi que tu fasses, tu finiras par rouiller au bout de ma lame !",,"不过你复活再多次，我都会让你成为这把剑的铁锈。","不過你復活再多次，我都會讓你成為這把劍的鐵鏽。",,
2276,"死霊は死霊らしく、墓の中で大人しくしてろってんだ！","The only rightful place for a specter is in its grave, and that is where you shall remain!","Agissez en spectres et restez tranquillement dans vos tombes !",,"死灵就该像个死灵，乖乖给我躺在坟墓里！","死靈就該像個死靈，乖乖給我躺在墳墓裡！",,
2277,"憎しみを向けられても、僕にはどうすることもできない。","There's nothing I can do for you, even if you choose me as a target for your hatred.","Vous pouvez bien me haïr, cela n'aucun effet.",,"就算你恨我，我也无法做些什么。","就算你恨我，我也無法做些什麼。",,
2278,"何度戦おうと、結果は同じさ！","No matter how many times you fight me, the outcome will never change!","Tu peux bien m'attaquer autant de fois que tu le souhaites, le résultat sera toujours le même !",,"不过跟我打再多次，结果都是一样的！","不過跟我打再多次，結果都是一樣的！",,
2279,"コイツを倒せば、全部が片付くな","I guess all that is left for me to do is to defeat this fellow, right?","Si je me débarrasse de lui, tout sera réglé.",,"只要打倒这傢伙，就全都收拾完毕了对吧","只要打倒這傢伙，就全都收拾完畢了對吧",,
2280,"………！！","......!!","... !!",,"………！！","………！！",,
2281,"全てを浄化してくれる！","I shall purify everything!","Purifions tout ça !",,"我要将一切都净化！","我要將一切都淨化！",,
2282,"二度とこんな気を起こさないようにしてあげるわ","When I am done with you, you'd never want to challenge me again.","Je vais faire en sorte que tu ne puisses jamais reproduire une telle chose !",,"我会让你不会想再挑战我。","我會讓你不會想再挑戰我。",,
2283,"これが私達のしてきたことの結果なのですね……","I guess this is the outcome of our own deeds...","C'est donc le résultat de nos actions.",,"这就是我们自己造成的结果对吧……","這就是我們自己造成的結果對吧……",,
2284,"再び闇へと還るがいい","Return to the darkness once more.","Retourne de l'obscurité de laquelle tu nous viens.",,"再次回归黑暗吧。","再次回歸黑暗吧。",,
2285,"どれだけ恨まれようと、俺はただ斬るだけだぜ","My attack will stay true, no matter how much hate you have for me.","Tu peux me maudire autant que tu le souhaites, je ne céderai pas.",,"不管你怎么恨我，我也都只是照砍下去而已。","不管你怎麼恨我，我也都只是照砍下去而已。",,
2286,"とても興味深い力ね。じっくり観察させてもらうわ","That power of yours is truly intriguing... let me study it more closely.","Tu as une puissance intéressante. Je vais prendre mon temps pour l'étudier.",,"你那个力量真令人感兴趣，就让我好好观察观察吧。","你那個力量真令人感興趣，就讓我好好觀察觀察吧。",,
2287,"陰気なアンタ達に構ってる程、暇じゃないのよ！","I have no time for gloomy fellows like you!","Je n'ai pas le temps de m'intéresser à vous !",,"我才没有空理你们这些阴沉的傢伙！","我才沒有空理你們這些陰沉的傢伙！",,
2288,"怖い。でも、ここで負けるわけにはいかないんだ！","This is scary... but I can't lose this fight!","J'ai peur... Mais je ne peux pas baisser les bras maintenant.",,"好可怕。但是我不能在这里输掉！","好可怕。但是我不能在這裡輸掉！",,
2289,"お友達になれそうだったのに。残念ね","I thought we'd become best of friends, what a shame.","On aurait pu devenir amis. C'est vraiment dommage.",,"我本来以为能跟你当好朋友的，真可惜。","我本來以為能跟你當好朋友的，真可惜。",,
2290,"興味深い研究材料だ。その力、全て見せてもらうぞ","Looks like a subject that is worth studying. Show me all of your powers.","Voilà un monstre digne d'être étudié. Laisse moi voir comment tu te bats maintenant.",,"看来是个值得研究的材料。就让我看看你所有的力量吧。","看來是個值得研究的材料。就讓我看看你所有的力量吧。",,
2291,"強い念だわ。でも、肉体があるなら破壊できる！","What a powerful consciousness! But if there's a physical vessel, I will be able to destroy it!","Une volonté de fer. Mais tout ce qui est fait de matière peut être détruit.",,"真是强烈的意识。但是只要有肉体就能破坏！","真是強烈的意識。但是只要有肉體就能破壞！",,
2292,"使命の邪魔をする以上、消えて頂かねばなりません","If you hinder my mission, I'll have no choice but to vanquish you.","Si tu me déranges dans ma tâche, je n'ai d'autre choix que de te faire disparaître.",,"只要妨碍到我的使命，就只能请您消失了","只要妨礙到我的使命，就只能請您消失了。",,
2293,"力なき者の戯言は聞き飽きた。消えろ","I am weary of all the nonsense babbled by the weak, be gone!","Je n'ai pas le temps d'écouter ces âneries. Disparais !",,"无能者的胡言乱语我已经听腻了，消失吧。","無能者的胡言亂語我已經聽膩了，消失吧。",,
2294,"何者であろうと、世界を乱す者は容赦せん","I don't care who you are; if you are trying to bring chaos to the world, I will show no mercy!","Qui que tu sois, je ne peux te pardonner de mettre le Monde dans un tel état !",,"不过你是什么人，只要是想扰乱世界之者，我就不会饶恕！","不過你是什麼人，只要是想擾亂世界之者，我就不會饒恕！",,
2295,"思念も残らないように焼き尽くしてやる","You shall burn until no trace of your meaningless consciousness remains in this world.","Je vais brûler jusqu'à ta dernière pensée.",,"我要把你烧得连一点儿思念都不留下。","我要把你燒得連一點兒思念都不留下。",,
2296,"貴様はそれで満たされているというのか","And you are satisfied with this?","C'est comme ça que tu te sens vivre ?",,"你这傢伙这样就满足了吗？","你這傢伙這樣就滿足了嗎？",,
2297,"純粋な思いだ。だが……","Your thoughts are pure, I'll give you that. But...","Ton but est pur, mais...",,"真是纯粹的思想啊，但是……","真是純粹的思想啊，但是……",,
2298,"その憎しみごと破壊する！","I will destroy you, along with the hatred that drives you!","Je vais détruire cette masse de haine !",,"我会将你连同你的憎恶一起破坏！","我會將你連同你的憎惡一起破壞！",,
2299,"倒さないと、もっと大変なことになる！","Things will definitely get worse if I don't defeat you now!","Si on ne s'en débarrasse pas, les choses ne vont qu'empirer.",,"不把你打倒的话，事情会变得更糟！","不把你打倒的話，事情會變得更糟！",,
2300,"弱者は弱者らしく、その死を受け入れよ","The weak shall behave like the weak; prepare to meet your doom!","Les faibles doivent accepter leur destin de faible et disparaître.",,"弱者就该像个弱者，乖乖受死吧！","弱者就該像個弱者，乖乖受死吧！",,
2301,"こんな奴、しがない探偵の手に負えるわけないだろう","A detective like me is not one to handle a creature like this!","Il ne sera pas capable de faire face à un détective.",,"这种傢伙，应该不是像我这样的侦探能处理的吧？","這種傢伙，應該不是像我這樣的偵探能處理的吧？",,
2302,"その力で我々を楽しませてもらおう","Entertain us with your powers!","Amuse-nous donc avec ton pouvoir.",,"就用你的力量来取悦吾等吧。","就用你的力量來取悅吾等吧。",,
2303,"どうしても私達の邪魔をしたいようですね","It looks like you are going to stand in our way, no matter what.","Pourquoi te mets-tu en travers de notre chemin ?",,"看来你无论如何都要妨碍我们的样子","看來你無論如何都要妨礙我們的樣子",,
2304,"怨嗟すら切り伏せてみせよう","I shall split you into half along with your hatred.","Je vais faire disparaître ta rage.",,"我会连同怨恨将你一起砍断。","我會連同怨恨將你一起砍斷。",,
2305,"あはははははは！　その力、ステキよ！","Hahahahaha! That power of yours is truly marvelous!","Hahahaha ! J'aime beaucoup ton pouvoir !",,"啊哈哈哈哈哈哈！　你那力量，很棒哦！","啊哈哈哈哈哈哈！　你那力量，很棒哦！",,
2306,"ボクの正義を証明するためにも！","I guess I will do this to prove my justice!","Il faut que je montre ce qu'est ma Justice !",,"就算是为了证明我的正义！","就算是為了證明我的正義！",,
2307,"嫌だと思っても、倒さないといけないのよね……","As much as I dislike the idea, I have got to take him out right?","Même si je n'en ai pas envie, il me faut te terrasser.",,"就算觉得讨厌，我也得打倒他对吧……","就算覺得討厭，我也得打倒他對吧……",,
2308,"もう一度墓場行きにしてやる。","I shall return you to your grave once more.","Je vais te renvoyer à la tombe.",,"我会让你再一次回到坟墓里去。","我會讓你再一次回到墳墓裡去。",,
2309,"恨み、憎しみ……なんて悲しい……","Grudge...Hatred... How pathetic...","Rage, haine... C'est bien triste...",,"怨恨、憎恶……多么可悲……","怨恨、憎惡……多麼可悲……",,
2310,"館に危害を加える前に倒します","I must defeat you before the Mansion gets involved in this.","Je vais le détruire avant qu'il ne s'en prenne au Palais !",,"我必须在馆邸受到波及前打倒你。","我必須在館邸受到波及前打倒你。",,
2311,"恨みも憎しみも、全て僕の曲で掻き消してやる","My music shall erase everything, be it your grudge or hatred.","Je vais faire disparaître ta rage et ta haine grâce à ma musique.",,"不管是怨恨还是憎恶，都由我的曲子来抹灭。","不管是怨恨還是憎惡，都由我的曲子來抹滅。",,
2312,"うらみやにくしみは、ちりょうできるんですかねぇ？","Can grudge or hatred be healed?","Est-ce que la haine, c'est un bobo qui se soigne ?",,"怨恨跟憎恶能够治疗吗？","怨恨跟憎惡能夠治療嗎？",,
2313,"死霊よ、滅せよ！","You shall be undone, specter!","Esprits, retournez à la terre !",,"死灵啊，毁灭吧！","死靈啊，毀滅吧！",,
2314,"その力、もっと面白いことに使う気はないのかしら？","Would you like to use that power of yours on something more interesting?","Tu n'aurais pas envie d'utiliser ton pouvoir pour faire quelque chose de plus amusant ?",,"你那份力量，想不想用在更有趣的事上啊？","你那份力量，想不想用在更有趣的事上啊？",,
2315,"さあ、怨嗟の美を見せてもらおう！","Come, show me the beauty of your hatred!","Montre-moi donc la beauté de la rancune !",,"来吧，让我看看怨恨的美吧！","來吧，讓我看看怨恨的美吧！",,
2316,"恨みも憎しみも、全て解放される時が来るの？","Grudge and hatred... has the time to liberate everything come?","La rancœur et la haine disparaissent-elles un jour ?",,"怨恨跟憎恶，解放一切的时刻来了吗？","怨恨跟憎惡，解放一切的時刻來了嗎？",,
2317,"観察している余裕はなさそうですね","Looks like I won't be able to spare the energy for observation.","Je ne vais pas avoir le temps de faire de l'observation.",,"看来没有余力好好观察了。","看來沒有餘力好好觀察了。",,
2318,"どれだけ恨まれようと、やるべきことがある！","There's something I must do, no matter how much you hate me!","Tu peux me détester autant que tu le veux, j'ai d'autres choses à faire.",,"不管怎么恨我，我都有必须做的事！","不管怎麼恨我，我都有必須做的事！",,
2319,"もう一度眠りについてくれ！","Rest in peace once more!","Va te recoucher !",,"再一次安眠吧！","再一次安眠吧！",,
2320,"これ以上の暴走は無駄でしてよ","It's no good even if you keep going berserk like this.","Cela ne sert à rien de vous agiter de la sorte.",,"你再继续暴动下去也没有用的哦。","你再繼續暴動下去也沒有用的哦。",,
2321,"恨みといっても所詮この程度か。吾の敵ではない","So that's your hatred? That's it? You are not even worthy to be my foe.","Ta rancœur n'a pas la puissance que j'aurais espéré. Tu n'es pas mon ennemi.",,"你的怨恨顶多也才这种程度啊？根本不配当吾的敌人。","你的怨恨頂多也才這種程度啊？根本不配當吾的敵人。",,
2322,"では、望み通り叩き潰して差し上げましょう","And I shall smash you into bits as you have wished.","Eh bien, comme vous avez l'air de le souhaiter, je vais vous écraser.",,"那么就如你所愿把你打烂吧。","那麼就如你所願把你打爛吧。",,
2323,"もう一度倒せば、懲りてくれるかなぁ？","Would you learn to behave if I defeat you once more?","Si je te bats une nouvelle fois, retiendras-tu ta leçon ?",,"再打倒你一次，是否就会学乖了呢？","再打倒你一次，是否就會學乖了呢？",,
2324,"一度死んだんだ。悪足掻きはやめたほうがいい","Stop struggling! You've already died once, have you not?","Tu es déjà mort une première fois. Si j'étais toi, je me calmerais maintenant.",,"既然已经死过一次了，就不要再挣扎了。","既然已經死過一次了，就不要再掙扎了。",,
2325,"どどどどっからでもかかってきやがれってんだ！！","No..no..no..no matter which way you are going to come at me, bring it on!!","A.... Attaque moi quand tu veux !",,"不不不不管你要从哪个方向上，都放马过来吧！！","不不不不管你要從哪個方向上，都放馬過來吧！！",,
2326,"いいだろう、かかってこい","Very well, come!","Allez, viens donc m'attaquer !",,"很好，来吧。","很好，來吧。",,
2327,"死して歪みと成り果てたか。ならばもう一度罰してやろう","So this is what happens when a spirit becomes twisted after death? I shall bring judgment upon you once more!","Tu es devenu un être distordu en mourant. Eh bien, je vais te juger une nouvelle fois.",,"死之後扭曲的结果吗，那么就再一次将你断罪！","死之後扭曲的結果嗎，那麼就再一次將你斷罪！",,
2328,"恐ろしいカボチャじゃ。だが、倒さねばならん","What a terrible pumpkin... but I've got to take you out!","Voilà une citrouille bien effrayante. Il me faut maintenant te détruire.",,"真是可怕的南瓜，但是不打倒不行啊。","真是可怕的南瓜，但是不打倒不行啊。",,
2329,"何も言えねぇように叩き斬ってやるぜ！","When I am done with you, you won't be uttering another word.","Je vais t'écraser pour que tu ne puisses plus dire le moindre mot !",,"我会把你打到无法再说话！","我會把你打到無法再說話！",,
2330,"死霊は死霊らしく、天なり地獄なりに行くといい","Be a good specter and go to heaven or hell where you belong!","En tant que spectres, vous devriez soit retourner à la terre, soit disparaître dans les cieux.",,"死灵就该像个死灵，去天堂或是地狱吧。","死靈就該像個死靈，去天堂或是地獄吧。",,
2331,"憎しみで歪んだ因果を正しましょう","I shall correct the fate that has been twisted by hatred.","Réparons la cause de tant de haine.",,"我会导正因憎恶而扭曲的因果。","我會導正因憎惡而扭曲的因果。",,
2332,"かってに恨まれても困るってーの！","I am perturbed by your hatred on me, please save it for someone else!","Ça m'embête que tu me détestes comme ça, arbitrairement !",,"随便乱恨我，我会很困扰的！","隨便亂恨我，我會很困擾的！",,
2333,"貴方の気持ちはわかるけど、あたくしに向けないでほしいわ","Although I have empathy for you, that doesn't mean you should target your hatred on me.","Je vous comprends, mais ce serait gentil de ne pas déverser votre haine contre moi.",,"虽然我了解你的心情，但我不希望你将矛头指向我啊。","雖然我了解你的心情，但我不希望你將矛頭指向我啊。",,
2334,"これが憎悪。なんて恐ろしい感情だ","So this is hatred? What a terrible emotion to have!","C'est donc ça, la haine... C'est vraiment un sentiment effrayant.",,"这就是憎恶吗，多么恐怖的感情啊。","這就是憎惡嗎，多麼恐怖的感情啊。",,
2335,"ちょっと倒しづらいなあ。でも負けるわけにはいかない！","This could be tricky, but I can't lose!","Il est tenace. Mais il me faut me débarrasser de lui.",,"有点难打倒，不过我不能输！","有點難打倒，不過我不能輸！",,
2336,"その恨みの念、全て受け止めてやろう","Come, I shall endure all the hatred you have harbored.","Déverse donc toute ta haine sur moi.",,"你那份憎恶的意念，就由我来全部接下吧。","你那份憎惡的意念，就由我來全部接下吧。",,
2337,"キサマラニ倒サレタ者達ノ恨ミ、思イ知レ！ ","Each and everyone of you shall taste the hatred of my kins you have defeated!","Subissez la haine de tous ceux que vous avez tués !",,"我要让你们这些傢伙，感受被你们打倒的大夥们的怨恨！","我要讓你們這些傢伙，感受被你們打倒的大夥們的怨恨！",,
2338,"結界が消えた。これで先に進めるな。","The barrier has disappeared; we can move on now.","La barrière a disparu. On va pouvoir avancer.",,"结界消失了，这样就可以再往前走了。","結界消失了，這樣就可以再往前走了。",,
2339,"ですが、死霊の数は増えています。大丈夫でしょうか？","But... the number of specters have increased. Wouldn't that be a problem?","Cependant, le nombre de spectre ne cesse d'augmenter. Est-ce que ça va aller ?",,"但是，死灵的数量增加了。没问题吗？","但是，死靈的數量增加了。沒問題嗎？",,
2340,"カブの魔物もいつ蘇るかわからないしな。","We have no idea when the swede monsters would revive again.","Et puis qui sait quand cette énorme courge reviendra à la vie...",,"芜菁的魔物也不知道什么时候会再甦醒。","蕪菁的魔物也不知道什麼時候會再甦醒。",,
2341,"背後に気を配りつつ、慎重に進むのが良策だろう。","Let's just watch our back and move on with caution.","La meilleure solution est de faire attention à ce qui se passe dans notre dos tout en continuant d'avancer.",,"我们边注意背後，边慎重前进吧。","我們邊注意背後，邊慎重前進吧。",,
2342,"パンプキングか……。奴に死霊を操る力があったとはな。","Pumpking...? Where'd he get the power to command the specters?","Une citrouille... Je n'aurais jamais pensé qu'elle aurait eu la force de contrôler les morts.",,"南瓜王吗……。那傢伙竟然有操纵死灵的力量。","南瓜王嗎……。那傢伙竟然有操縱死靈的力量。",,
2343,"今までそのような事はなかったはずですが","This had never happened before.","Une telle chose ne s'était encore jamais produite.",,"至今从来没有发生过这种事才对","至今從來沒有發生過這種事才對",,
2344,"一体、いつそのような力を得たのでしょうか。","So where exactly had he obtained such power?","Quand a-t-elle été capable de mettre la main sur un tel pouvoir ?",,"他到底，是从哪里得到这种力量的呢？","他到底，是從哪裡得到這種力量的呢？",,
2345,"ドルイドは私達を相当恨んでいるようだった。","It seems like Druid really hates us.","On aurait dit que le Druide nous détestait cordialement.",,"看来德鲁伊非常恨我们的样子。","看來德魯伊非常恨我們的樣子。",,
2346,"もしかすると、それが関係しているのかもしれない。","Perhaps it has something to do with him.","Peut-être que c'est lié ?",,"说不定，是跟他有关係。","說不定，是跟他有關係。",,
2347,"私達が幾度となくパンプキングを倒したからでしょうか。","Could it be because we have defeated the Pumpking many times?","Est-ce parce que nous avons terrasser la Citrouille plusieurs reprises ?",,"是因为我们打倒了好几次南瓜王的关係吗？","是因為我們打倒了好幾次南瓜王的關係嗎？",,
2348,"可能性はある。","That might be.","C'est possible.",,"有可能。","有可能。",,
2349,"だが、これ以上死霊をはびこらせるわけにはいかない。","But... we can't let the number of specters grow any further.","Mais on ne peut laisser ces spectres continuer à proliférer.",,"但是，我们不能再让死灵增殖下去了。","但是，我們不能再讓死靈增殖下去了。",,
2350,"怨嗟が奴を形作っていたのか。","Did his hate materialize into his physical vessel?","La haine lui a donc donné forme.",,"是怨恨形成了那傢伙的型体吗？","是怨恨形成了那傢伙的型體嗎？",,
2351,"私達が魔物を倒し続けたら、また現れるのでしょうか？","Does this mean that if we keep defeating these monsters, he will eventually appear again?","Si nous continuons à combattre ces monstres, peut-être réapparaîtra-t-il ?",,"只要我们继续打倒魔物，就会再出现吗？","只要我們繼續打倒魔物，就會再出現嗎？",,
2352,"ここまでの憤怒を再び呼び起こすことがあれば、","If this had been the result of his fury, then it could very well happen.","Si nous continuons à attiser sa colère",,"如果这是至今为止的愤怒所引发的，那么就有可能再次发生。","如果這是至今為止的憤怒所引發的，那麼就有可能再次發生。",,
2353,"再び現れるかもしれない。",,"Il pourrait effectivement réapparaître.",,,,,
2354,"……次に現れることがあるのなら","...... If it is going to appear again,","... S'il venait à réapparaître",,"……如果下次还要再出现的话，希望不要再是南瓜王了。","……如果下次還要再出現的話，希望不要再是南瓜王了。",,
2355,"パンプキングでないといいが。","I really wish it wouldn't be the Pumpking.","Ce serait bien qu'il ne ressemble pas à une citrouille",,,,,
2356,"どうかしましたか？","What's the matter?","Pourquoi donc ?",,"怎么了吗？","怎麼了嗎？",,
2357,"いや、なんでもない。","No, it's nothing.","Non, rien...",,"不，没什么。","不，沒什麼。",,
2358,"結界は消えたみたいだが","It looks like the barrier is gone.","On dirait que la barrière a disparu.",,"看来结界消失了","看來結界消失了",,
2359,"この先にもわんさか死霊がいやがるな。","And there is still a horde of specters lingering before us.","On dirait qu'il y a encore des spectres par ici.",,"这前面还一堆的死灵在徘徊。","這前面還一堆的死靈在徘徊。",,
2360,"このままここにいても囲まれてしまいそうですね。","At any rate, even if we stay here, it looks like we will be surrounded eventually.","Si nous restons ici, ils vont nous encercler.",,"就这样待在这里也会被包围的样子。","就這樣待在這裡也會被包圍的樣子。",,
2361,"どうしましょうか。","What should we do?","Que faisons-nous ?",,"要怎么办？","要怎麼辦？",,
2362,"進むしかねえだろ。あんまり離れて歩くなよ。","We move on. Be sure to stay close.","On n'a pas le choix, il faut avancer. Ne t'éloigne pas trop de moi.",,"只好前进囉，别离我太远啊。","只好前進囉，別離我太遠啊。",,
2363,"俺達、相当恨まれてるな。","I guess we are really hated.","On dirait qu'il nourrit une sacrée rancœur à notre égard.",,"我们还真是，被恨之入骨啊。","我們還真是，被恨之入骨啊。",,
