"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
232,"かぼちゃ",231,4,,0,,"item_c_e028.swf",2,"cutinchara01_skl00.swf","レイドで使用するとハロウィンレイドを発見します(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Pumpkin","Citrouille",0,"南瓜","南瓜",,,"Use in a RAID zone to discover a Halloween special vortex.","Lorsque vous l'utilisez lors d'un Raid, vous obtenez un Raid d'Halloween.",,"在RAID中使用后可发现万圣节活动涡。 （活动结束后消失）","在RAID區使用後可發現萬聖節活動渦。 (活動結束後消失)",,
233,"アニバーサリーコイン",232,0,,0,,"item_c_e028.swf",3,"cutinchara01_skl00.swf","Unlight4周年を記念して発行されたコイン。イベント終了後に使用すると4GEMを取得します。","2010-04-06 04:53:16 UTC","Anniversary Coin","Pièce anniversaire",0,"周年纪念币","週年紀念幣",,,"Unlight 4th Anniversary Coin Obtain 4GEM if used after the conclusion of the event.","Pièce pour célébrer les 4 ans d'Unlight. Si vous utilisez cette pièce après que cet événement a pris fin, vous
obtenez 4GEM.",,"Unlight4周年纪念币。活动结束后使用的话，能够取得4GEM。","Unlight4週年紀念幣。活動結束後使用的話，能夠取得4GEM。",,
234,"ケイオシウムカウンター",233,1,,0,,"item_c_e029.swf",1,"cutinchara01_skl00.swf","クエストで使用すると紅衣の裁きイベントクエストを取得します(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Chaosium Counter","Chaosium Counter",,"混沌元素计数器","混沌元素計數器",,,"Use in the mission area to receive the Judgment in Red event mission. (Disappears after the conclusion of the event)","Lorsque vous l'utilisez lors d'une Quête, vous obtenez la Quête « Tribunal des Capes Rouges » (disparaît lorsque l’Évent prend fin).",,"在任务区使用后可取得红衣的审判活动任务。（活动结束后消失）","在任務區使用後可取得紅衣的審判活動任務。(活動結束後消失)",,
235,"赤いプレゼントボックス",234,1,,0,,"item_c_e030.swf",1,"cutinchara01_skl00.swf","クエストで使用すると幸せの髭イベント専用クエストを取得します(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Red Gift Box ","Boîte à Cadeau Rouge",,"红色礼物箱","紅色禮物箱",,,"Use in the mission area to receive the Happy Beard event mission. (Disappears after the conclusion of the event)","Lorsque vous l'utilisez durant une Quête, vous obtenez une Quête « l'Événement Barbe du Bonheur ». (Disparaît lorsque l'Événement prend fin.)",,"在任务区使用可取得幸福之须活动专用任务。（活动结束后消失）","在任務區使用可取得幸福的鬍鬚活動專用任務。(活動結束後消失)",,
236,"ピンクのリボン",235,3,,0,,"item_c_e033.swf",1,"cutinchara01_skl00.swf","イベント用収集アイテム(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Pink Ribbon","Ruban Rose",0,"粉红色缎带","粉紅色緞帶",,,"A special item to be collected during specific event (disappears automatically when the event is over)","Item réservé à ce événement (disparaît lorsque l'événement prend fin)",,"活动专用收集物品（活动结束后消失）","活動專用收集物品(活動結束後消失)",,
237,"安全ピン",236,1,,0,,"item_c_e034.swf",1,"cutinchara01_skl00.swf","クエストで使用すると「まほろばの夢」イベント専用クエストを取得します(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Safety Bolt","Épingle",,"安全插梢","安全插梢",,,"Use at the quest area to trigger the <Awareness and Acceptance> quest (disappears automatically when the event is over).","Lorsque vous l'utilisez durant une Quête, vous obtenez la Quête Événement <Résolution & Abandon> (disparaît lorsque l'événement prend fin).",,"在任务区使用后可取得“美妙梦境”的专用活动任务。（活动结束后消失）","在任務區使用後可取得「美好的夢境」的專用活動任務。(活動結束後消失)",,
251,"渦探索アイテム1",250,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 1","소용돌이 탐색아이템1","涡探索器1","渦探索器1",,"ไอเท็มสำรวจน้ำวน 1","Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,"สำรวจน้ำวนได้"
252,"渦探索アイテム2",251,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 2","소용돌이 탐색아이템2","涡探索器2","渦探索器2",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
253,"渦探索アイテム3",252,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 3","소용돌이 탐색아이템3","涡探索器3","渦探索器3",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
254,"渦探索アイテム4",253,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 4","소용돌이 탐색아이템4","涡探索器4","渦探索器4",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
255,"渦探索アイテム5",254,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 5","소용돌이 탐색아이템5","涡探索器5","渦探索器5",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
256,"渦探索アイテム6",255,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 6","소용돌이 탐색아이템6","涡探索器6","渦探索器6",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
257,"渦探索アイテム7",256,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 7","소용돌이 탐색아이템7","涡探索器7","渦探索器7",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
258,"渦探索アイテム8",257,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 8","소용돌이 탐색아이템8","涡探索器8","渦探索器8",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
259,"渦探索アイテム9",258,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 9","소용돌이 탐색아이템9","涡探索器9","渦探索器9",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
260,"渦探索アイテム10",259,4,,0,,"item_c_b008.swf",1,"cutinchara01_skl00.swf","渦を探索します","2010-04-06 04:53:16 UTC","Vortex Research Item 1","Item de Recherche Vortex 10","소용돌이 탐색아이템10","涡探索器10","渦探索器10",,,"Search for a vortex.","Rechercher Vortex.","소용돌이를 탐색합니다.","搜寻涡","搜尋渦",,
261,0,260,0,,0,,"item_c_a000.swf",1,"cutinchara01_skl00.swf",0,"2010-04-06 04:53:16 UTC",0,,0,0,0,,,0,,,,,,
301,"エヴァリスト投票券",300,2,,0,,"item_z_b001.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Evarist","Bulletin Evarist",,"艾伯李斯特投票券","艾伯李斯特投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
302,"アイザック投票券",301,2,,0,,"item_z_b002.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Izac","Bulletin Isaac",,"艾依查库投票券","艾依查庫投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
303,"グリュンワルド投票券",302,2,,0,,"item_z_b003.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Grunwald","Bulletin Grunwald",,"古鲁瓦尔多投票券","古魯瓦爾多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
304,"アベル投票券",303,2,,0,,"item_z_b004.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Abel","Bulletin Abel",,"阿贝尔投票券","阿貝爾投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
305,"レオン投票券",304,2,,0,,"item_z_b005.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Leon","Bulletin Leon",,"利恩投票券","利恩投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
306,"クレーニヒ投票券",305,2,,0,,"item_z_b006.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Kronig","Bulletin Kronig",,"库勒尼西投票券","庫勒尼西投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
307,"ジェッド投票券",306,2,,0,,"item_z_b007.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Jead","Bulletin Jead",,"杰多投票券","傑多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
308,"アーチボルト投票券",307,2,,0,,"item_z_b008.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Archibald","Bulletin Archibald",,"阿奇波尔多投票券","阿奇波爾多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
309,"マックス投票券",308,2,,0,,"item_z_b009.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Max","Bulletin Max",,"马库斯投票券","馬庫斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
310,"ブレイズ投票券",309,2,,0,,"item_z_b010.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Blaise","Bulletin Blaise",,"布列依斯投票券","布列依斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
311,"シェリ投票券",310,2,,0,,"item_z_b011.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Sheri","Bulletin Sheri",,"雪莉投票券","雪莉投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
312,"アイン投票券",311,2,,0,,"item_z_b012.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Ayn","Bulletin Ayn",,"艾茵投票券","艾茵投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
313,"ベルンハルト投票券",312,2,,0,,"item_z_b013.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Bernhard","Bulletin Bernhard",,"伯恩哈德投票券","伯恩哈德投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
314,"フリードリヒ投票券",313,2,,0,,"item_z_b014.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Friedrich","Bulletin Friedrich",,"弗雷特里西投票券","弗雷特里西投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
315,"マルグリッド投票券",314,2,,0,,"item_z_b015.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Marguerite","Bulletin Marguerite",,"玛格莉特投票券","瑪格莉特投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
316,"ドニタ投票券",315,2,,0,,"item_z_b016.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Donita","Bulletin Donita",,"多妮妲投票券","多妮妲投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
317,"スプラート投票券",316,2,,0,,"item_z_b017.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Sprout","Bulletin Sprout",,"史普拉多投票券","史普拉多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
318,"ベリンダ投票券",317,2,,0,,"item_z_b018.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Belinda","Bulletin Belinda",,"贝琳达投票券","貝琳達投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
319,"ロッソ投票券",318,2,,0,,"item_z_b019.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Rosso","Bulletin Rosso",,"罗索投票券","羅索投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
320,"エイダ投票券",319,2,,0,,"item_z_b020.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Ada","Bulletin Ada",,"艾妲投票券","艾妲投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
321,"メレン投票券",320,2,,0,,"item_z_b021.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Melen","Bulletin Melen",,"梅伦投票券","梅倫投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
322,"サルガド投票券",321,2,,0,,"item_z_b022.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Salgado","Bulletin Salgado",,"萨尔卡多投票券","薩爾卡多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
323,"レッドグレイヴ投票券",322,2,,0,,"item_z_b023.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Redgrave","Bulletin Redgrave",,"蕾格烈芙投票券","蕾格烈芙投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
324,"リーズ投票券",323,2,,0,,"item_z_b024.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Riesz","Bulletin Riesz",,"里斯投票券","里斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
325,"ミリアン投票券",324,2,,0,,"item_z_b025.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Milian","Bulletin Milian",,"米利安投票券","米利安投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
326,"ウォーケン投票券",325,2,,0,,"item_z_b026.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Walken","Bulletin Walken",,"沃肯投票券","沃肯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
327,"フロレンス投票券",326,2,,0,,"item_z_b027.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Florence","Bulletin Florence",,"佛罗伦斯投票券","佛羅倫斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
328,"パルモ投票券",327,2,,0,,"item_z_b028.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Palmo","Bulletin Palmo",,"帕茉投票券","帕茉投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
329,"アスラ投票券",328,2,,0,,"item_z_b029.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Asura","Bulletin Asura",,"阿修罗投票券","阿修羅投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
330,"ブロウニング投票券",329,2,,0,,"item_z_b030.swf",1,"cutinchara01_skl00.swf","2014Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Browning","Bulletin Browning",,"布朗宁投票券","布朗寧投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2014Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2014Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
